,BS,TE,SE,PTE,PSE
210,25.64102564102564,25.64102564102564,28.57142857142857,20.51282051282051,25.64102564102564
211,33.333333333333336,33.33333333333333,31.57894736842105,33.333333333333336,38.0952380952381
212,37.5,37.5,35.294117647058826,37.5,37.5
213,23.076923076923077,60.0,60.0,42.857142857142854,23.076923076923077
214,46.15384615384615,24.999999999999993,17.391304347826082,50.0,38.46153846153846
215,0.0,9.090909090909092,14.285714285714288,0.0,4.444444444444444
216,17.647058823529413,31.57894736842105,12.244897959183673,16.129032258064516,17.857142857142854
217,19.354838709677416,6.451612903225806,6.451612903225806,12.121212121212125,5.0
218,0.0,0.0,0.0,0.0,0.0
219,53.84615384615385,13.333333333333334,35.714285714285715,53.84615384615385,53.84615384615385
220,16.326530612244895,15.384615384615389,26.666666666666668,3.8461538461538463,32.727272727272734
221,76.92307692307692,24.0,76.92307692307692,76.92307692307692,76.92307692307692
222,17.391304347826082,15.625,7.142857142857142,19.35483870967742,14.814814814814813
223,64.0,60.86956521739131,25.53191489361702,68.0,64.0
224,63.99999999999999,48.0,63.99999999999999,63.99999999999999,63.99999999999999
225,0.0,0.0,0.0,0.0,0.0
226,0.0,0.0,0.0,0.0,0.0
227,25.80645161290322,6.896551724137931,0.0,25.80645161290322,25.80645161290322
228,61.11111111111113,37.500000000000014,50.0,57.14285714285715,61.11111111111113
229,5.555555555555555,5.0,11.764705882352942,5.555555555555555,5.0
230,71.42857142857143,46.15384615384615,71.42857142857143,71.42857142857143,71.42857142857143
231,0.0,0.0,0.0,0.0,0.0
232,7.142857142857142,6.06060606060606,6.25,14.285714285714285,7.142857142857142
233,28.57142857142857,28.57142857142857,25.0,28.57142857142857,28.57142857142857
234,9.090909090909092,19.04761904761905,42.10526315789473,0.0,0.0
235,0.0,25.0,0.0,0.0,0.0
236,16.39344262295082,11.76470588235294,21.91780821917808,16.949152542372886,16.39344262295082
237,31.57894736842105,35.89743589743589,16.666666666666668,47.36842105263157,47.36842105263157
238,16.326530612244895,30.43478260869565,17.02127659574468,17.857142857142854,21.27659574468085
239,16.0,0.0,0.0,21.05263157894737,18.181818181818183
240,35.714285714285715,20.689655172413797,34.48275862068966,35.714285714285715,33.333333333333336
241,0.0,0.0,0.0,0.0,0.0
242,58.06451612903225,80.0,82.75862068965517,61.111111111111114,70.96774193548386
243,24.09638554216868,7.4074074074074066,11.267605633802814,11.940298507462686,38.55421686746988
244,42.10526315789474,87.50000000000001,87.50000000000001,73.68421052631578,42.10526315789474
245,42.10526315789474,20.0,36.36363636363636,42.10526315789474,21.05263157894737
246,0.0,0.0,0.0,0.0,0.0
247,23.25581395348837,23.25581395348837,23.25581395348837,15.000000000000002,14.634146341463413
248,27.27272727272727,42.10526315789474,44.44444444444444,28.571428571428566,24.999999999999993
249,35.29411764705882,21.05263157894737,24.999999999999993,35.29411764705882,35.29411764705882
250,9.523809523809524,0.0,0.0,34.782608695652165,0.0
251,57.14285714285713,85.71428571428572,35.29411764705882,85.71428571428572,85.71428571428572
252,27.27272727272728,43.24324324324325,10.810810810810812,27.27272727272728,27.27272727272728
253,0.0,7.142857142857142,13.333333333333334,0.0,7.142857142857142
254,51.61290322580646,4.0,0.0,3.7037037037037033,3.8461538461538463
255,32.43243243243243,40.0,0.0,34.48275862068966,23.52941176470588
256,31.25,20.0,16.39344262295082,26.22950819672131,22.222222222222214
257,3.7735849056603774,13.333333333333334,14.705882352941174,3.7735849056603774,15.094339622641506
258,31.57894736842105,42.10526315789474,23.52941176470588,38.0952380952381,38.0952380952381
259,14.285714285714285,15.384615384615385,31.578947368421055,30.43478260869565,25.531914893617024
260,37.03703703703704,34.04255319148936,15.000000000000002,31.818181818181817,40.740740740740726
261,100.0,74.99999999999999,74.99999999999999,74.99999999999999,100.0
262,29.268292682926827,18.6046511627907,24.0,29.268292682926827,33.9622641509434
263,29.50819672131147,68.29268292682927,35.0,24.137931034482758,37.03703703703704
264,53.84615384615385,40.0,53.84615384615385,38.46153846153846,44.44444444444445
265,28.57142857142857,8.333333333333332,8.0,27.58620689655172,28.57142857142857
266,23.728813559322035,13.333333333333334,32.6530612244898,25.352112676056343,11.594202898550725
267,21.428571428571427,30.0,20.0,22.22222222222222,0.0
268,60.8695652173913,9.523809523809524,9.523809523809524,60.8695652173913,60.8695652173913
269,5.405405405405406,14.285714285714288,0.0,9.090909090909092,6.666666666666668
270,29.7872340425532,45.454545454545446,45.0,27.906976744186053,29.268292682926827
271,48.0,35.71428571428571,35.71428571428571,59.25925925925925,59.25925925925925
272,0.0,0.0,0.0,9.090909090909092,0.0
273,10.000000000000002,25.0,0.0,0.0,0.0
274,27.906976744186053,38.09523809523809,27.77777777777778,27.906976744186053,45.454545454545446
275,42.10526315789474,11.11111111111111,0.0,42.10526315789474,42.10526315789474
276,11.111111111111112,0.0,10.526315789473683,21.05263157894737,12.5
277,42.10526315789474,12.307692307692307,20.58823529411765,27.906976744186053,43.47826086956522
278,31.57894736842105,0.0,0.0,84.21052631578948,84.21052631578948
279,28.57142857142857,43.137254901960794,44.827586206896555,28.57142857142857,29.09090909090909
280,13.333333333333334,0.0,0.0,13.333333333333334,13.333333333333334
281,0.0,12.5,0.0,0.0,0.0
282,27.27272727272727,3.8461538461538463,3.8461538461538463,19.354838709677416,26.47058823529412
283,6.25,0.0,0.0,9.523809523809524,12.121212121212123
284,21.81818181818182,4.0,21.73913043478261,22.727272727272723,17.241379310344826
285,18.181818181818183,16.666666666666664,11.11111111111111,5.555555555555555,5.555555555555555
286,6.451612903225806,4.761904761904763,0.0,17.142857142857146,22.857142857142854
287,20.51282051282051,3.389830508474576,17.391304347826082,7.792207792207792,10.0
288,0.0,0.0,0.0,0.0,0.0
289,5.0,4.545454545454546,0.0,11.320754716981133,4.166666666666667
290,23.80952380952381,20.689655172413797,13.793103448275861,0.0,23.80952380952381
291,30.508474576271183,23.333333333333332,24.56140350877193,33.89830508474576,10.0
292,12.5,8.333333333333332,11.111111111111112,12.5,12.5
293,0.0,0.0,0.0,0.0,0.0
294,40.00000000000001,41.379310344827594,32.0,26.666666666666668,46.666666666666664
295,100.0,58.82352941176471,82.3529411764706,100.0,100.0
296,40.579710144927525,15.384615384615385,16.666666666666664,44.11764705882353,37.68115942028986
297,10.526315789473683,0.0,5.88235294117647,10.526315789473683,10.526315789473683
298,40.0,0.0,10.0,21.428571428571427,45.454545454545446
299,17.777777777777775,16.666666666666664,17.54385964912281,23.25581395348837,22.22222222222222
300,26.08695652173913,57.14285714285715,100.0,31.57894736842105,22.222222222222225
301,5.555555555555555,0.0,0.0,5.555555555555555,20.40816326530613
